task_id,description,arrival_time,deadline
evaltask_000342,Create lagged variables based on income-to-debt ratio for the credit bureau dataset.,77214,78055
evaltask_000343,Training a XGBoost model from scratch on the updated credit bureau dataset.,77649,78523
evaltask_000344,The XGBoost model was fine last month and now it isn't.,78224,80242
evaltask_000345,"Draft the creditworthiness findings first, then turn them into slides for stakeholders.",79120,80976
evaltask_000346,Update pipeline dependencies feeding the credit bureau dataset.,91595,92125
evaltask_000347,Pull the latest records and afterwards check the logistics dataset covers the full time range.,47971,48774
evaltask_000348,Filter out the corrupted rows and afterwards impute what's missing in route distance.,48978,49916
evaltask_000349,"There's something odd in the logistics dataset, can't put my finger on it.",49308,50952
evaltask_000350,See if we can squeeze more out of route distance for delivery delay.,49777,51644
evaltask_000351,Establishing a baseline mixed-integer optimisation model for delivery delay prediction.,50165,51256
evaltask_000352,Produce a confusion matrix summarising mixed-integer optimisation model performance on delivery delay.,50447,51116
evaltask_000353,Prepare a one-page summary of mixed-integer optimisation model results for management.,50565,51589
evaltask_000354,Investigate a failed run in the logistics dataset ingestion pipeline.,66762,68464
evaltask_000355,Resolve a data freshness issue affecting the logistics dataset.,48961,49630
evaltask_000356,Fix the failing logistics dataset job without taking the pipeline offline.,54527,55754
evaltask_000357,Validate that the patient records dataset covers the full required time range.,15238,15947
evaltask_000358,"First fix the encoding issues in the patient records dataset, then reconcile the mismatched identifiers.",16472,18541
evaltask_000359,Analyse correlations between lab results and patient risk score in the patient records dataset.,17241,19837
evaltask_000360,Retrain the logistic regression model after incorporating the new features.,17939,18760
evaltask_000361,Evaluate the logistic regression model on a held-out split of the patient records dataset.,19268,19984
evaltask_000362,Prepare slides presenting the logistic regression model performance to stakeholders.,20398,20769
evaltask_000363,Update pipeline dependencies feeding the patient records dataset.,17417,18900
evaltask_000364,"The customer retention dataset doesn't go back far enough, see what you can do.",27068,28912
evaltask_000365,Remove duplicate records from the customer retention dataset.,28204,28982
evaltask_000366,The inputs to the gradient boosting model need rethinking.,28546,30767
evaltask_000367,Compare training time and convergence of the gradient boosting model on the customer retention dataset.,28733,30741
evaltask_000368,Check whether the gradient boosting model is actually any good on customer churn.,29578,31490
evaltask_000369,"First collect the gradient boosting model results, then prepare a one-page summary for management.",29738,30542
evaltask_000370,Reviewing pipeline logs after an unexpected failure.,34020,35182
evaltask_000371,Resolve a data freshness issue affecting the customer retention dataset.,31960,33512
evaltask_000372,Patch a schema change that broke the customer retention dataset pipeline.,33619,34295
evaltask_000373,Download and consolidate external data sources for the workforce analytics dataset.,63878,65169
evaltask_000374,Filter out the corrupted rows and afterwards impute what's missing in compensation band.,63920,64396
evaltask_000375,Assess class imbalance in engagement score without resampling the workforce analytics dataset at this stage.,64078,65849
evaltask_000376,Deriving interaction terms between compensation band and other variables.,64157,64737
evaltask_000377,Set up cross-validation and then fit the logistic regression model on the prepared workforce analytics dataset.,65424,65907
evaltask_000378,The logistic regression model was fine last month and now it isn't.,65880,67535
evaltask_000379,Train a logistic regression model to predict engagement score using the workforce analytics dataset.,66315,67163
evaltask_000380,Validate the logistic regression model without touching the held-out test split.,66449,67464
evaltask_000381,Compare training time and convergence of the logistic regression model on the workforce analytics dataset.,67649,68261
evaltask_000382,"Evaluate the logistic regression model on the workforce analytics dataset, then check fairness across the main segments.",67867,69606
evaltask_000383,Document the logistic regression model limitations without disclosing the underlying workforce analytics dataset schema.,68854,69603
evaltask_000384,Update pipeline dependencies feeding the workforce analytics dataset.,75875,77297
evaltask_000385,Update pipeline dependencies feeding the workforce analytics dataset.,74177,76591
evaltask_000386,Check where the customer retention dataset is actually coming from.,74435,76229
evaltask_000387,Remove duplicate records from the customer retention dataset.,75203,75949
evaltask_000388,Summarise the customer retention dataset without producing any new visualisations.,75781,76918
evaltask_000389,Improve signal for subscription cancellation without adding features derived from contract type.,76669,78159
evaltask_000390,Run cross-validation while training the random forest classifier on the customer retention dataset.,76702,78149
evaltask_000391,"Not convinced by the random forest classifier numbers, look into them.",78061,78993
evaltask_000392,Retrain the random forest classifier after incorporating the new features.,79274,79959
evaltask_000393,"Score the random forest classifier on the held-out split, then run an error analysis on the failures.",79908,81090
evaltask_000394,Prepare a one-page summary of random forest classifier results for management.,80042,80833
evaltask_000395,Fix a broken scheduled job feeding the customer retention dataset.,76656,77483
evaltask_000396,Update pipeline dependencies feeding the customer retention dataset.,82460,83221
evaltask_000397,Pull the latest records and afterwards check the subscription churn dataset covers the full time range.,8789,10757
evaltask_000398,"The subscription churn dataset looks messy again, deal with it.",8951,11016
evaltask_000399,"Compute summary statistics for the subscription churn dataset, then visualise how customer attrition moves over time.",9130,11585
evaltask_000400,Build features for the random forest classifier without using information unavailable at prediction time.,10105,10943
evaltask_000401,Get a first customer attrition baseline without tuning the random forest classifier at all.,10518,11192
evaltask_000402,Stress-test the random forest classifier against edge cases in the subscription churn dataset.,11076,11529
evaltask_000403,"Update the README with the new subscription churn dataset schema, then draft the random forest classifier release notes.",11193,13030
evaltask_000404,"First add monitoring for the recurring failure, then refactor the subscription churn dataset ingestion.",12682,13301
evaltask_000405,Update pipeline dependencies feeding the subscription churn dataset.,18277,19022
evaltask_000406,The subscription churn dataset pipeline has been flaky all week.,27304,28808
evaltask_000407,Pull the latest records and afterwards check the product review dataset covers the full time range.,24635,25276
evaltask_000408,Filter out the corrupted rows and afterwards impute what's missing in star rating.,26065,26895
evaltask_000409,Generate embeddings to represent star rating for the naive Bayes classifier.,27174,28009
evaltask_000410,Run cross-validation while training the naive Bayes classifier on the product review dataset.,28467,29280
evaltask_000411,Stress-test the naive Bayes classifier against edge cases in the product review dataset.,29027,30000
evaltask_000412,Compare training time and convergence of the naive Bayes classifier on the product review dataset.,30304,32267
evaltask_000413,"Compute precision, recall and F1 for review sentiment predictions.",31193,32711
evaltask_000414,Write a summary report describing the naive Bayes classifier results for review sentiment.,32338,33296
evaltask_000415,Patch a schema change that broke the product review dataset pipeline.,44073,44710
evaltask_000416,Update pipeline dependencies feeding the product review dataset.,32936,34322
evaltask_000417,Investigate a failed run in the product review dataset ingestion pipeline.,30737,32391
evaltask_000418,Download and consolidate external data sources for the purchase history dataset.,35560,36008
evaltask_000419,Filter out the corrupted rows and afterwards impute what's missing in session length.,35858,36543
evaltask_000420,"Create the lagged variables from session length, then aggregate them at project level.",36650,38091
evaltask_000421,Get a first user click-through rate baseline without tuning the two-tower neural network at all.,37950,38349
evaltask_000422,Check the two-tower neural network for fairness across segments of the purchase history dataset.,38791,39237
evaltask_000423,"The two-tower neural network isn't picking anything up, have a go at it.",39554,40981
evaltask_000424,The two-tower neural network was fine last month and now it isn't.,40295,40833
evaltask_000425,"Whatever we did last time to the two-tower neural network, do it again with the new data.",40499,41852
evaltask_000426,Run an error analysis on the two-tower neural network predictions for user click-through rate.,41210,42720
evaltask_000427,Finalise documentation before closing out the user click-through rate project.,42358,43013
evaltask_000428,Patch a schema change that broke the purchase history dataset pipeline.,37228,38139
evaltask_000429,"Restart the purchase history dataset pipeline, then verify the overnight load completed correctly.",55418,56056
evaltask_000430,Update pipeline dependencies feeding the purchase history dataset.,50359,50964
evaltask_000431,Retrieving additional records is required to complete the internal reports dataset.,25083,26302
evaltask_000432,Something's wrong with topic coherence in the internal reports dataset.,25123,26633
evaltask_000433,Set up the training pipeline for the extractive summarisation pipeline.,26387,27256
evaltask_000434,Check the extractive summarisation pipeline for fairness across segments of the internal reports dataset.,26936,27780
evaltask_000435,"First collect the extractive summarisation pipeline results, then prepare a one-page summary for management.",28372,29681
evaltask_000436,Refactor the ingestion pipeline for the internal reports dataset to reduce runtime.,43340,44260
evaltask_000437,"First add monitoring for the recurring failure, then refactor the internal reports dataset ingestion.",42893,44136
evaltask_000438,Merge multiple data extracts into a single hospital admissions dataset.,20367,21683
evaltask_000439,Impute missing values for lab results using an appropriate strategy.,20837,21715
evaltask_000440,Segment the hospital admissions dataset first and afterwards compare lab results across the segments.,21300,22020
evaltask_000441,Finalise the feature set to be used by the gradient boosting model.,21562,21920
evaltask_000442,Set up cross-validation and then fit the gradient boosting model on the prepared hospital admissions dataset.,22763,23343
evaltask_000443,Stress-test the gradient boosting model against edge cases in the hospital admissions dataset.,23566,25199
evaltask_000444,Set up the training pipeline for the gradient boosting model.,24663,25316
evaltask_000445,Stress-test the gradient boosting model against edge cases in the hospital admissions dataset.,25200,26131
evaltask_000446,"Rebuild the training pipeline, then retrain the gradient boosting model on the updated hospital admissions dataset.",25310,26007
evaltask_000447,"Not convinced by the gradient boosting model numbers, look into them.",26691,27132
evaltask_000448,Write a summary report describing the gradient boosting model results for 30-day readmission.,27310,29407
evaltask_000449,Rebuild the smart meter dataset without re-scraping the external sources.,2228,2935
evaltask_000450,Remove duplicate records from the smart meter dataset.,3552,4511
evaltask_000451,Identify data quality issues that could affect energy anomalies prediction.,4857,5389
evaltask_000452,Build features for the gradient boosting regressor without using information unavailable at prediction time.,6110,8140
evaltask_000453,Compare training time and convergence of the gradient boosting regressor on the smart meter dataset.,7510,8501
evaltask_000454,"Not convinced by the gradient boosting regressor numbers, look into them.",7913,8528
evaltask_000455,Write a summary report describing the gradient boosting regressor results for energy anomalies.,8847,11265
evaltask_000456,Update pipeline dependencies feeding the smart meter dataset.,19018,19922
evaltask_000457,Query the production database to extract data for the conversion funnel dataset.,74876,76424
evaltask_000458,Filter out the corrupted rows and afterwards impute what's missing in conversion event.,75644,77383
evaltask_000459,Examine conversion event in the conversion funnel dataset without assuming a normal distribution.,75833,77421
evaltask_000460,Compare training time and convergence of the causal inference model on the conversion funnel dataset.,76809,77619
evaltask_000461,"Score the causal inference model on the held-out split, then run an error analysis on the failures.",77309,78269
evaltask_000462,Get a first experiment outcome baseline without tuning the causal inference model at all.,78427,79082
evaltask_000463,Run an error analysis on the causal inference model predictions for experiment outcome.,78661,80108
evaltask_000464,Get a first experiment outcome baseline without tuning the causal inference model at all.,78978,80122
evaltask_000465,Produce a confusion matrix summarising causal inference model performance on experiment outcome.,79342,79935
evaltask_000466,Finalise documentation before closing out the experiment outcome project.,80532,82489
evaltask_000467,"The smart meter dataset doesn't go back far enough, see what you can do.",73457,75181
evaltask_000468,Remove duplicate records from the smart meter dataset.,74893,75544
evaltask_000469,"Profile the smart meter dataset first, then investigate how occupancy patterns relates to hourly energy consumption.",76256,76724
evaltask_000470,Create lagged variables based on occupancy patterns for the smart meter dataset.,77617,79762
evaltask_000471,Compare training time and convergence of the LSTM forecasting model on the smart meter dataset.,77901,78531
evaltask_000472,Validate the LSTM forecasting model without touching the held-out test split.,79174,79519
evaltask_000473,Summarise key findings from the hourly energy consumption analysis for the team.,80061,80840
evaltask_000474,"Restart the smart meter dataset pipeline, then verify the overnight load completed correctly.",73560,75039
evaltask_000475,Update pipeline dependencies feeding the smart meter dataset.,82364,83737
evaltask_000476,Rebuild the building energy dataset without re-scraping the external sources.,12350,14129
evaltask_000477,Something's wrong with weather data in the building energy dataset.,12717,13756
evaltask_000478,Not sure what's driving energy anomalies — dig into it.,13144,15050
evaltask_000479,Create lagged variables based on weather data for the building energy dataset.,14527,15319
evaltask_000480,Fit the gradient boosting regressor on the building energy dataset without using the weather data column.,15890,17539
evaltask_000481,Investigate a drop in gradient boosting regressor recall after the last building energy dataset update.,17284,19074
evaltask_000482,Finalise documentation before closing out the energy anomalies project.,18348,19069
evaltask_000483,"Restart the building energy dataset pipeline, then verify the overnight load completed correctly.",23532,25972
evaltask_000484,Monitor data quality alerts for the building energy dataset pipeline.,30860,31734
evaltask_000485,"First query the production database, then consolidate the extracts into the warehouse inventory dataset.",24237,25756
evaltask_000486,Filter out invalid or corrupted rows from the warehouse inventory dataset.,24475,25729
evaltask_000487,Have a proper look at the warehouse inventory dataset and tell me what's going on.,25110,25940
evaltask_000488,Encode categorical variables in the warehouse inventory dataset for the mixed-integer optimisation model.,26132,26717
evaltask_000489,"Rebuild the training pipeline, then retrain the mixed-integer optimisation model on the updated warehouse inventory dataset.",26374,26981
evaltask_000490,"Not convinced by the mixed-integer optimisation model numbers, look into them.",26683,27635
evaltask_000491,Write a summary report describing the mixed-integer optimisation model results for stock-out risk.,27375,28689
evaltask_000492,"Check the pipeline logs, then patch the schema change that broke the warehouse inventory dataset ingestion.",30824,32173
evaltask_000493,"The warehouse inventory dataset numbers look stale, find out why.",23767,24692
evaltask_000494,Rebuild the product image dataset without re-scraping the external sources.,49862,51955
evaltask_000495,Standardise column formats across the product image dataset.,49931,50640
evaltask_000496,Not sure what's driving product category — dig into it.,50083,50561
evaltask_000497,Build features for the fine-tuned ResNet model without using information unavailable at prediction time.,50313,51940
evaltask_000498,Debug a training failure encountered while fitting the fine-tuned ResNet model.,50821,51559
evaltask_000499,"Compute precision, recall and F1 for product category predictions.",52201,52997
evaltask_000500,Set up cross-validation and then fit the fine-tuned ResNet model on the prepared product image dataset.,53619,54652
evaltask_000501,The fine-tuned ResNet model was fine last month and now it isn't.,54910,55801
evaltask_000502,"Update the README with the new product image dataset schema, then draft the fine-tuned ResNet model release notes.",55225,57103
evaltask_000503,Requesting access to a new data source needed for the news articles dataset.,18939,20048
evaltask_000504,"First fix the encoding issues in the news articles dataset, then reconcile the mismatched identifiers.",19344,19951
evaltask_000505,The inputs to the extractive summarisation pipeline need rethinking.,20350,21554
evaltask_000506,Compare training time and convergence of the extractive summarisation pipeline on the news articles dataset.,21605,22743
evaltask_000507,Assessing whether the extractive summarisation pipeline meets the required performance threshold.,22880,23737
evaltask_000508,Fit the extractive summarisation pipeline on the prepared news articles dataset.,24204,25139
evaltask_000509,Assess the extractive summarisation pipeline on key topic extraction without relying on accuracy as the headline metric.,25502,26115
evaltask_000510,Draft release notes describing changes to the extractive summarisation pipeline pipeline.,26045,27099
evaltask_000511,"Restart the news articles dataset pipeline, then verify the overnight load completed correctly.",22001,24003
evaltask_000512,Rebuild the news articles dataset without re-scraping the external sources.,53232,53888
evaltask_000513,Investigate and correct inconsistent entries in the news articles dataset.,53697,55260
evaltask_000514,Assess class imbalance in document category without resampling the news articles dataset at this stage.,54558,55445
evaltask_000515,Reduce the dimensionality of the news articles dataset without discarding keyword frequency.,55733,56796
evaltask_000516,Compare training time and convergence of the fine-tuned summarisation model on the news articles dataset.,56424,57633
evaltask_000517,"Not convinced by the fine-tuned summarisation model numbers, look into them.",56748,58967
evaltask_000518,Document known limitations of the current fine-tuned summarisation model.,57075,58042
evaltask_000519,Resolve a data freshness issue affecting the news articles dataset.,64663,66331
evaltask_000520,The news articles dataset pipeline has been flaky all week.,65304,66763
evaltask_000521,Fix the failing news articles dataset job without taking the pipeline offline.,69927,71993
evaltask_000522,Scrape supplementary records to enrich the payments dataset.,1900,2602
evaltask_000523,Reconcile mismatched identifiers between two versions of the payments dataset.,1951,3785
evaltask_000524,Visualise trends in anomalous payments over time using the payments dataset.,2676,3362
evaltask_000525,Engineer new features from merchant category to improve anomalous payments prediction.,3395,5805
evaltask_000526,Training a autoencoder model from scratch on the updated payments dataset.,3438,4629
evaltask_000527,Assessing whether the autoencoder model meets the required performance threshold.,4144,6582
evaltask_000528,Summarise key findings from the anomalous payments analysis for the team.,5319,6743
evaltask_000529,Restore the payments dataset pipeline without triggering a full historical backfill.,9821,11788
evaltask_000530,Scrape supplementary records to enrich the HR records dataset.,29925,31199
evaltask_000531,Investigate and correct inconsistent entries in the HR records dataset.,30435,31499
evaltask_000532,Explore the distribution of compensation band in the HR records dataset.,31565,33341
evaltask_000533,Engineer new features from compensation band to improve engagement score prediction.,32503,32921
evaltask_000534,Compare training time and convergence of the survival analysis model on the HR records dataset.,33517,34682
evaltask_000535,Produce a confusion matrix summarising survival analysis model performance on engagement score.,33794,34629
evaltask_000536,Fit the survival analysis model on the HR records dataset without using the compensation band column.,34134,34836
evaltask_000537,Assessing whether the survival analysis model meets the required performance threshold.,34693,35363
evaltask_000538,"Update the README with the new HR records dataset schema, then draft the survival analysis model release notes.",35608,36783
evaltask_000539,Check where the store-level sales dataset is actually coming from.,32698,33518
evaltask_000540,Filter out the corrupted rows and afterwards impute what's missing in store location.,34081,36454
evaltask_000541,"Profile the store-level sales dataset first, then investigate how store location relates to product demand.",34367,35939
evaltask_000542,Reduce the dimensionality of the store-level sales dataset without discarding store location.,34722,36753
evaltask_000543,"Rebuild the training pipeline, then retrain the temporal fusion transformer on the updated store-level sales dataset.",35974,37128
evaltask_000544,Check whether the temporal fusion transformer is actually any good on product demand.,36700,37940
evaltask_000545,Document known limitations of the current temporal fusion transformer.,37163,38899
evaltask_000546,"Check the pipeline logs, then patch the schema change that broke the store-level sales dataset ingestion.",48943,49343
evaltask_000547,The store-level sales dataset ingestion job fell over again last night.,38423,39935
evaltask_000548,The store-level sales dataset pipeline has been flaky all week.,44239,46007
evaltask_000549,Download and consolidate external data sources for the A/B test results dataset.,57711,59100
evaltask_000550,Investigate and correct inconsistent entries in the A/B test results dataset.,58060,59014
evaltask_000551,"Whatever we did last time to the difference-in-differences model, do it again with the new data.",58999,59949
evaltask_000552,"Evaluate the difference-in-differences model on the A/B test results dataset, then check fairness across the main segments.",60422,61016
evaltask_000553,Document known limitations of the current difference-in-differences model.,61343,62505
evaltask_000554,Update pipeline dependencies feeding the A/B test results dataset.,75372,76290
evaltask_000555,Resolve a data freshness issue affecting the A/B test results dataset.,73228,74152
evaltask_000556,Restart and verify the A/B test results dataset pipeline after a maintenance window.,57772,58968
evaltask_000557,"First query the production database, then consolidate the extracts into the firewall logs dataset.",42822,44305
evaltask_000558,Investigate and correct inconsistent entries in the firewall logs dataset.,44073,44725
evaltask_000559,Investigating class imbalance in intrusion type within the firewall logs dataset.,45139,46770
evaltask_000560,Finalise the feature set to be used by the gradient boosting model.,46181,47973
evaltask_000561,"Rebuild the training pipeline, then retrain the gradient boosting model on the updated firewall logs dataset.",46440,46845
evaltask_000562,"Score the gradient boosting model on the held-out split, then run an error analysis on the failures.",46848,48752
evaltask_000563,Finalise documentation before closing out the intrusion type project.,47686,48386
evaltask_000564,Monitor data quality alerts for the firewall logs dataset pipeline.,54437,54899
evaltask_000565,Rebuild the sensor telemetry dataset without re-scraping the external sources.,19300,20649
evaltask_000566,Filter out the corrupted rows and afterwards impute what's missing in operating hours.,20227,21425
evaltask_000567,"Profile the sensor telemetry dataset first, then investigate how operating hours relates to equipment failure.",21142,21663
evaltask_000568,Create lagged variables based on operating hours for the sensor telemetry dataset.,21671,23246
evaltask_000569,Compare training time and convergence of the LSTM survival model on the sensor telemetry dataset.,21748,22736
evaltask_000570,"First reproduce the reported LSTM survival model metrics, then investigate the drop in recall.",22617,24529
evaltask_000571,Establishing a baseline LSTM survival model for equipment failure prediction.,23498,24935
evaltask_000572,"Not convinced by the LSTM survival model numbers, look into them.",24436,25778
evaltask_000573,"Update the README with the new sensor telemetry dataset schema, then draft the LSTM survival model release notes.",25011,27245
evaltask_000574,"First add monitoring for the recurring failure, then refactor the sensor telemetry dataset ingestion.",38069,38671
evaltask_000575,The sensor telemetry dataset ingestion job fell over again last night.,33443,34505
evaltask_000576,"The borrower repayment dataset doesn't go back far enough, see what you can do.",6805,8730
evaltask_000577,Investigate and correct inconsistent entries in the borrower repayment dataset.,7286,8456
evaltask_000578,"Profile the borrower repayment dataset first, then investigate how credit utilisation relates to creditworthiness.",7748,8205
evaltask_000579,Improve signal for creditworthiness without adding features derived from credit utilisation.,7766,8839
evaltask_000580,"Rebuild the training pipeline, then retrain the scorecard model on the updated borrower repayment dataset.",9004,9418
evaltask_000581,Assessing whether the scorecard model meets the required performance threshold.,9993,11658
evaltask_000582,Compare training time and convergence of the scorecard model on the borrower repayment dataset.,10408,12682
evaltask_000583,Assessing whether the scorecard model meets the required performance threshold.,10923,11573
evaltask_000584,They want something on creditworthiness for tomorrow.,11732,13388
evaltask_000585,"Restart the borrower repayment dataset pipeline, then verify the overnight load completed correctly.",23674,25253
evaltask_000586,Restart and verify the borrower repayment dataset pipeline after a maintenance window.,17141,18863
evaltask_000587,Resolve the freshness issue in the borrower repayment dataset without changing the ingestion schedule.,20080,20621
evaltask_000588,"First query the production database, then consolidate the extracts into the A/B test results dataset.",44508,44997
evaltask_000589,Treat the outliers in variance reduction covariate without imputing any values.,44575,46491
evaltask_000590,Build features for the difference-in-differences model without using information unavailable at prediction time.,45688,47268
evaltask_000591,Establishing a baseline difference-in-differences model for statistical significance prediction.,45749,47158
evaltask_000592,"Not convinced by the difference-in-differences model numbers, look into them.",46702,48402
evaltask_000593,Training a difference-in-differences model from scratch on the updated A/B test results dataset.,47375,48881
evaltask_000594,"Not convinced by the difference-in-differences model numbers, look into them.",47917,48989
evaltask_000595,Prepare slides presenting the difference-in-differences model performance to stakeholders.,48615,49631
evaltask_000596,Scrape supplementary records to enrich the internal reports dataset.,38045,38690
evaltask_000597,Resolve inconsistent entries in the internal reports dataset without dropping any rows.,38126,38898
evaltask_000598,Investigating class imbalance in key topic extraction within the internal reports dataset.,38165,38909
evaltask_000599,"The extractive summarisation pipeline isn't picking anything up, have a go at it.",39333,41946
evaltask_000600,"Not convinced by the extractive summarisation pipeline numbers, look into them.",40570,41316
